Price,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Ticker,AZN.L,AZN.L,AZN.L,AZN.L,AZN.L,HSBA.L,HSBA.L,HSBA.L,HSBA.L,HSBA.L,SHEL.L,SHEL.L,SHEL.L,SHEL.L,SHEL.L,ULVR.L,ULVR.L,ULVR.L,ULVR.L,ULVR.L,RR.L,RR.L,RR.L,RR.L,RR.L,BATS.L,BATS.L,BATS.L,BATS.L,BATS.L
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-19,11782.0,11831.681640625,11686.0,11710.0,5698126,944.6347045898438,948.4344296876237,939.0350551022772,940.3350140573313,13258252,2652.755126953125,2653.7550346526928,2616.258495918904,2622.757895966094,5088786,4859.1796875,4872.012043696359,4817.474407802363,4835.653457021069,1521508,1059.5,1090.5,1053.0,1085.5,107047042.0,4234.7451171875,4264.7362299154565,4232.745709672303,4256.738599854669,2290921
2025-08-20,11976.0,12044.0,11778.0,11798.0,1329692,964.0333251953125,964.3333532803899,942.8348396235439,945.5346041417473,19731399,2665.75390625,2672.2533062464836,2632.256998575816,2637.7564908805325,10360399,5017.44482421875,5032.416150264018,4884.8443011090985,4890.190994023321,3102787,1026.0,1055.5,1026.0,1050.0,41373129.0,4349.7109375,4363.70678974661,4259.737601628936,4271.734046411744,3962172
2025-08-21,12048.0,12062.0,11900.0,11938.0,768494,967.2330932617188,968.6330208557894,957.4337831960299,960.8335724782386,13109615,2677.252685546875,2683.2521313408174,2666.7536554074754,2678.7525469953607,4078425,5019.58349609375,5026.288466363907,4983.224912313928,5021.7219778372355,2604064,1040.5,1044.239990234375,1028.5,1033.5,31216123.0,4391.69873046875,4399.6963607541475,4306.723908686405,4351.7105790417645,2911923
2025-08-22,11968.0,12126.0,11932.0,11934.0,1009953,967.2330932617188,972.3327771850317,965.5331986206145,967.4330916367196,10967192,2691.75146484375,2705.75017231322,2678.752665050671,2692.2514186819453,3541589,4985.3642578125,5030.277260187128,4982.156046717776,5008.889999952096,2890147,1043.0,1048.8489990234375,1033.5,1038.5,19697453.0,4313.7216796875,4395.6973871578075,4313.7216796875,4391.6985721592555,2909816
2025-08-26,11872.0,12086.2470703125,11778.01953125,11876.0,2980596,960.6336059570312,964.0333343210366,949.234369544282,960.4336075753986,50035992,2706.75,2727.748060583672,2699.7506464721096,2706.2500461765794,12890357,4912.6474609375,4950.075287554407,4890.190960262503,4930.826509663076,6667175,1057.5,1077.5,1040.0,1077.5,36324443.0,4231.74609375,4269.73483732725,4176.762385940822,4206.753499291282,12930663
2025-08-27,11876.0,11970.0,11820.0,11898.0,1352887,954.134033203125,964.5332774673639,951.0342109368056,961.0335194779599,16440045,2715.249267578125,2732.7476517367027,2699.7506987519564,2717.749036743636,4892822,4943.65869140625,4943.65869140625,4898.745691637995,4900.88417341846,3890187,1056.5,1062.5,1048.5,1062.0,32114459.0,4211.75146484375,4253.739018018076,4195.756206491626,4246.741092489022,3664203
2025-08-28,11810.0,11916.0,11770.0,11908.0,1255394,955.73388671875,958.9336776198102,951.9341617247751,955.333951000452,10650943,2715.249267578125,2729.247974904987,2701.250560251263,2724.7483904070673,3394153,4929.75732421875,4957.5605180839775,4899.815160235804,4953.283554324286,1890813,1058.5,1069.0,1039.5,1057.0,20205964.0,4144.771484375,4209.752223999789,4113.780670092408,4203.754001880578,6392912
2025-08-29,11790.0,11858.0,11786.0,11858.0,1041551,946.6345825195312,952.9341348987182,942.7348276495433,951.9342040121508,21949401,2723.74853515625,2747.2463657642425,2716.7491813581246,2719.748904414464,5073789,4974.669921875,4999.265390922042,4928.687682815719,4937.242586115748,3856388,1070.0,1081.10400390625,1056.0,1061.0,51650668.0,4183.76025390625,4203.7543291937345,4147.770918388776,4162.76647485439,2492699
2025-09-01,11850.0,11946.0,11764.0,11888.0,808650,953.5340576171875,954.5510161232698,946.5115938625304,947.434503694432,8507247,2716.749267578125,2731.247929477235,2709.050026979458,2722.7487138812053,3248001,4987.50244140625,5005.424188113052,4967.184911576603,5003.5430076825805,1950201,1100.0,1102.0,1076.071044921875,1079.0,15566490.0,4154.7685546875,4203.754035722073,4139.772999268753,4193.756998776242,1251628
2025-09-02,11904.0,12034.0,11810.0,11842.0,1047973,946.4345703125,956.9338444681061,946.4345703125,952.9341209802562,16297718,2730.247802734375,2763.7447085727204,2714.7492343614094,2721.7485878201683,4889674,5055.94189453125,5090.161510379802,4954.352776159263,4968.25437303827,3003345,1069.0,1100.5,1066.0,1100.5,15091640.0,4088.788330078125,4109.782108790017,4031.8052164315595,4098.785367559979,3525741
